blueWins,blueTotalGolds,blueCurrentGolds,blueTotalLevel,blueAvgLevel,blueTotalMinionKills,blueTotalJungleMinionKills,blueFirstBlood,blueKill,blueDeath,blueAssist,blueWardPlaced,blueWardKills,blueFirstTower,blueFirstInhibitor,blueFirstTowerLane,blueTowerKills,blueMidTowerKills,blueTopTowerKills,blueBotTowerKills,blueInhibitor,blueFirstDragon,blueDragon,blueRiftHeralds,blueBaron,blueFirstBaron,redTotalGolds,redCurrentGolds,redTotalLevel,redAvgLevel,redTotalMinionKills,redTotalJungleMinionKills,redFirstBlood,redKill,redDeath,redAssist,redWardPlaced,redWardKills,redFirstTower,redFirstInhibitor,redFirstTowerLane,redTowerKills,redMidTowerKills,redTopTowerKills,redBotTowerKills,redInhibitor,redFirstDragon,redDragon,redRiftHeralds,redBaron,redFirstBaron,blueAirDragon,blueEarthDragon,blueWaterDragon,blueFireDragon,blueElderDragon,redAirDragon,redEarthDragon,redWaterDragon,redFireDragon,redElderDragon,blueChamps0,blueChamps1,blueChamps2,blueChamps3,blueChamps4,redChamps0,redChamps1,redChamps2,redChamps3,redChamps4
1,28855,3659,43,8.6,324,80,0,17,13,21,62,8,1,0,1,1,0,1,0,0,0,1,1,0,0,24406,1906,42,8.4,340,60,1,13,17,17,33,10,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,22,76,133,111,4,236,84,64,89,235
1,25636,2381,43,8.6,326,80,0,10,14,15,61,6,0,0,0,0,0,0,0,0,0,0,1,0,0,27709,3979,42,8.4,342,67,1,14,10,21,69,8,1,0,3,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,54,432,104,61,51,119,3,412,5,24
1,24756,2958,45,9.0,343,101,1,8,10,5,26,4,1,0,2,1,1,0,0,0,0,0,1,0,0,24088,2738,45,9.0,355,65,0,10,8,9,25,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,517,40,876,24,81,22,120,555,38,8
1,24415,3890,48,9.6,361,114,1,6,1,7,46,11,0,0,0,1,0,0,1,0,0,1,0,0,0,21522,1277,43,8.6,356,79,0,1,6,1,38,9,1,0,1,1,0,1,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,201,76,84,22,875,55,64,44,164,429
1,24537,2725,44,8.8,348,65,1,11,12,12,28,17,0,0,0,0,0,0,0,0,1,2,1,0,0,26418,2923,44,8.8,378,72,0,12,11,23,45,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,58,5,517,29,497,64,69,875,202,133
0,25501,2820,47,9.4,286,64,0,14,17,6,24,5,0,0,0,1,0,1,0,0,0,0,1,0,0,26966,4081,46,9.2,292,76,1,17,14,21,25,3,1,0,3,1,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,1,0,1,0,157,84,37,360,104,81,53,74,15,56
1,50082,2717,70,14.0,160,0,1,33,32,79,0,0,1,1,2,3,3,0,0,1,0,0,0,0,0,47157,6992,70,14.0,174,0,0,32,33,84,0,0,0,0,0,3,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,517,54,555,4,111,113,22,122,236,53
1,26279,4004,45,9.0,395,91,0,9,7,9,26,17,1,0,2,1,1,0,0,0,1,1,1,0,0,22910,2155,44,8.8,303,80,1,7,9,10,31,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,29,497,876,114,39,40,84,119,164,28
1,30173,4985,48,9.6,348,73,1,20,9,21,32,9,1,0,1,2,0,1,1,0,0,1,1,0,0,23340,3940,42,8.4,330,64,0,9,20,3,26,4,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,117,164,104,7,22,421,69,84,236,267
0,21544,3139,40,8.0,291,81,0,4,25,3,22,5,0,0,0,0,0,0,0,0,0,0,0,0,0,34687,7918,48,9.6,351,67,1,25,4,34,25,3,1,1,1,5,3,1,1,1,1,2,1,0,0,0,0,0,0,0,0,0,1,1,0,104,360,3,126,235,875,119,44,20,107
