,blueWins,blueChamps,blueTotalGolds,blueCurrentGolds,blueTotalLevel,blueAvgLevel,blueTotalMinionKills,blueTotalJungleMinionKills,blueFirstBlood,blueKill,blueDeath,blueAssist,blueWardPlaced,blueWardKills,blueFirstTower,blueFirstInhibitor,blueFirstTowerLane,blueTowerKills,blueMidTowerKills,blueTopTowerKills,blueBotTowerKills,blueInhibitor,blueFirstDragon,blueDragon,blueRiftHeralds,blueBaron,blueFirstBaron,redChamps,redTotalGolds,redCurrentGolds,redTotalLevel,redAvgLevel,redTotalMinionKills,redTotalJungleMinionKills,redFirstBlood,redKill,redDeath,redAssist,redWardPlaced,redWardKills,redFirstTower,redFirstInhibitor,redFirstTowerLane,redTowerKills,redMidTowerKills,redTopTowerKills,redBotTowerKills,redInhibitor,redFirstDragon,redDragon,redRiftHeralds,redBaron,redFirstBaron,blueAirDragon,blueEarthDragon,blueWaterDragon,blueFireDragon,blueElderDragon,redAirDragon,redEarthDragon,redWaterDragon,redFireDragon,redElderDragon
0,1,"[22, 76, 133, 111, 4]",34529,2414,50,10.0,371,99,0,22,14,26,78,10,1,0,1,2,0,2,0,0,0,1,1,0,0,"[236, 84, 64, 89, 235]",27775,2925,46,9.2,390,73,1,14,22,19,37,12,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0
1,1,"[54, 432, 104, 61, 51]",30399,3374,49,9.8,395,96,0,12,14,17,72,9,0,0,0,1,0,1,0,0,0,0,1,0,0,"[119, 3, 412, 5, 24]",31259,4789,47,9.4,411,83,1,14,12,21,75,8,1,0,3,2,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0
2,1,"[517, 40, 876, 24, 81]",28408,4325,50,10.0,401,129,1,8,10,5,36,10,1,0,2,2,1,0,1,0,1,1,1,0,0,"[22, 120, 555, 38, 8]",27028,2170,49,9.8,414,79,0,10,8,9,34,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
3,1,"[201, 76, 84, 22, 875]",29284,1129,51,10.2,400,128,1,11,4,21,55,12,0,0,0,1,0,0,1,0,0,1,0,0,0,"[55, 64, 44, 164, 429]",25378,1655,46,9.2,390,91,0,4,11,13,44,11,1,0,1,1,0,1,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0
4,1,"[58, 5, 517, 29, 497]",29786,2358,49,9.8,419,81,1,14,14,16,34,24,0,0,0,1,1,0,0,0,1,2,1,0,0,"[64, 69, 875, 202, 133]",31178,3348,49,9.8,449,92,0,14,14,25,53,15,1,0,3,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
5,0,"[157, 84, 37, 360, 104]",29544,2914,49,9.8,332,76,0,16,21,9,28,9,0,0,0,1,0,1,0,0,0,0,1,0,0,"[81, 53, 74, 15, 56]",31299,3784,52,10.4,337,91,1,21,16,28,30,4,1,0,3,1,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,1,0,1,0
6,1,"[517, 54, 555, 4, 111]",57490,5940,79,15.8,192,0,1,43,34,106,0,0,1,1,2,3,3,0,0,2,0,0,0,0,0,"[113, 22, 122, 236, 53]",50902,52,73,14.6,182,0,0,34,43,90,0,0,0,0,0,3,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,1,"[29, 497, 876, 114, 39]",32068,3603,50,10.0,461,99,0,13,8,17,36,24,1,0,2,2,1,0,1,0,1,1,1,0,0,"[40, 84, 119, 164, 28]",26810,3795,48,9.6,359,100,1,8,13,11,40,10,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
8,1,"[117, 164, 104, 7, 22]",35779,1341,52,10.4,379,95,1,25,10,26,36,10,1,0,1,4,1,1,2,0,0,1,1,0,0,"[421, 69, 84, 236, 267]",26126,991,45,9.0,365,66,0,10,25,4,34,6,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0
9,0,"[104, 360, 3, 126, 235]",23412,2897,42,8.4,315,82,0,4,27,3,27,5,0,0,0,0,0,0,0,0,0,0,0,0,0,"[875, 119, 44, 20, 107]",38952,3767,50,10.0,377,102,1,27,4,36,27,5,1,1,1,6,3,2,1,1,1,2,1,0,0,0,0,0,0,0,0,0,1,1,0
