gameId,blueWins,blueChamps,blueTotalGolds,blueCurrentGolds,blueTotalLevel,blueAvgLevel,blueTotalMinionKills,blueTotalJungleMinionKills,blueFirstBlood,blueKill,blueDeath,blueAssist,blueWardPlaced,blueWardKills,blueFirstTower,blueFirstInhibitor,blueFirstTowerLane,blueTowerKills,blueMidTowerKills,blueTopTowerKills,blueBotTowerKills,blueInhibitor,blueFirstDragon,blueDragonType,blueDragon,blueRiftHeralds,blueBaron,blueFirstBaron,redWins,redChamps,redTotalGolds,redCurrentGolds,redTotalLevel,redAvgLevel,redTotalMinionKills,redTotalJungleMinionKills,redFirstBlood,redKill,redDeath,redAssist,redWardPlaced,redWardKills,redFirstTower,redFirstInhibitor,redFirstTowerLane,redTowerKills,redMidTowerKills,redTopTowerKills,redBotTowerKills,redInhibitor,redFirstDragon,redDragonType,redDragon,redRiftHeralds,redBaron,redFirstBaron
4667601010,TBD,TBD,37647,5533,54,10.8,414,105,0,24,14,29,84,12,1,0,['TOP_LANE'],3,1,2,0,0,0,['EARTH_DRAGON'],1,1,0,0,TBD,TBD,29110,4260,48,9.6,418,79,1,14,24,19,41,13,0,0,[],0,0,0,0,0,1,['WATER_DRAGON'],1,0,0,0
4666433276,TBD,TBD,32730,3235,50,10.0,429,104,0,13,14,17,78,9,0,0,[],1,0,1,0,0,0,[],0,2,0,0,TBD,TBD,32764,4734,47,9.4,434,95,1,14,13,21,82,12,1,0,['BOT_LANE'],2,0,1,1,0,1,"['FIRE_DRAGON', 'EARTH_DRAGON']",2,0,0,0
4666262683,TBD,TBD,30294,5146,50,10.0,436,131,1,8,10,5,39,12,1,0,['MID_LANE'],2,1,0,1,0,1,['WATER_DRAGON'],1,1,0,0,TBD,TBD,29146,4213,50,10.0,450,87,0,10,8,9,35,13,0,0,[],1,0,1,0,0,0,[],0,0,0,0
4666178940,TBD,TBD,36831,2248,52,10.4,386,87,0,29,8,29,68,10,1,0,['MID_LANE'],3,1,1,1,0,1,['EARTH_DRAGON'],1,1,0,0,TBD,TBD,24705,4580,45,9.0,317,68,1,8,29,5,60,11,0,0,[],0,0,0,0,0,0,[],0,0,0,0
4666252180,TBD,TBD,31960,3330,54,10.8,419,136,1,14,6,30,59,15,0,0,[],1,0,0,1,0,0,['AIR_DRAGON'],1,0,0,0,TBD,TBD,27377,1119,49,9.8,406,91,0,6,14,19,46,12,1,0,['TOP_LANE'],1,0,1,0,0,1,['FIRE_DRAGON'],1,1,0,0
4666144894,TBD,TBD,31785,3319,52,10.4,441,81,1,16,15,18,39,25,0,0,[],1,1,0,0,0,1,"['FIRE_DRAGON', 'WATER_DRAGON']",2,1,0,0,TBD,TBD,33570,1650,52,10.4,478,96,0,15,16,26,59,15,1,0,['BOT_LANE'],2,0,1,1,0,0,[],0,0,0,0
4665412578,TBD,TBD,32277,3497,52,10.4,366,76,0,18,21,10,32,10,0,0,[],1,0,1,0,0,0,[],0,1,0,0,TBD,TBD,33562,3157,53,10.6,365,91,1,21,18,28,32,6,1,0,['BOT_LANE'],4,1,1,2,0,1,"['EARTH_DRAGON', 'FIRE_DRAGON']",2,0,0,0
4665086284,TBD,TBD,57490,5940,79,15.8,192,0,1,43,34,106,0,0,1,1,['MID_LANE'],3,3,0,0,2,0,[],0,0,0,0,TBD,TBD,50902,52,73,14.6,182,0,0,34,43,90,0,0,0,0,[],3,3,0,0,1,0,[],0,0,0,0
4664899276,TBD,TBD,33390,1995,52,10.4,485,105,0,13,10,17,38,25,1,0,['MID_LANE'],2,1,0,1,0,1,['FIRE_DRAGON'],1,1,0,0,TBD,TBD,29241,5926,50,10.0,389,107,1,10,13,15,42,10,0,0,[],1,0,1,0,0,0,[],0,0,0,0
4664639258,TBD,TBD,36180,812,52,10.4,379,103,1,25,10,26,38,10,1,0,['TOP_LANE'],4,1,1,2,0,0,['WATER_DRAGON'],1,1,0,0,TBD,TBD,26547,905,45,9.0,377,66,0,10,25,4,35,7,0,0,[],1,0,1,0,0,1,['FIRE_DRAGON'],1,0,0,0
