gameId,blueWins,blueChamps,blueTotalGolds,blueCurrentGolds,blueTotalLevel,blueAvgLevel,blueTotalMinionKills,blueTotalJungleMinionKills,blueFirstBlood,blueKill,blueDeath,blueAssist,blueWardPlaced,blueWardKills,blueFirstTower,blueFirstInhibitor,blueFirstTowerLane,blueTowerKills,blueMidTowerKills,blueTopTowerKills,blueBotTowerKills,blueInhibitor,blueFirstDragon,blueDragonType,blueDragon,blueRiftHeralds,blueBaron,blueFirstBaron,redWins,redChamps,redTotalGolds,redCurrentGolds,redTotalLevel,redAvgLevel,redTotalMinionKills,redTotalJungleMinionKills,redFirstBlood,redKill,redDeath,redAssist,redWardPlaced,redWardKills,redFirstTower,redFirstInhibitor,redFirstTowerLane,redTowerKills,redMidTowerKills,redTopTowerKills,redBotTowerKills,redInhibitor,redFirstDragon,redDragonType,redDragon,redRiftHeralds,redBaron,redFirstBaron
4667601010,Win,"[22, 76, 133, 111, 4]",11675,1275,26,5.2,156,35,0,4,5,2,21,1,0,0,[],0,0,0,0,0,0,[],0,0,0,0,Fail,"[236, 84, 64, 89, 235]",11684,2264,26,5.2,157,24,1,5,4,6,10,1,0,0,[],0,0,0,0,0,1,['WATER_DRAGON'],1,0,0,0
4666433276,Win,"[54, 432, 104, 61, 51]",12803,2848,26,5.2,142,24,0,7,11,11,23,1,0,0,[],0,0,0,0,0,0,[],0,0,0,0,Fail,"[119, 3, 412, 5, 24]",14325,3685,27,5.4,135,35,1,11,7,15,30,1,0,0,[],0,0,0,0,0,0,[],0,0,0,0
4666262683,Win,"[517, 40, 876, 24, 81]",11524,3789,28,5.6,155,48,1,4,1,1,11,1,0,0,[],0,0,0,0,0,0,[],0,0,0,0,Fail,"[22, 120, 555, 38, 8]",9755,2230,26,5.2,127,35,0,1,4,1,9,1,0,0,[],0,0,0,0,0,0,[],0,0,0,0
4666252180,Win,"[201, 76, 84, 22, 875]",10577,2377,27,5.4,159,49,1,1,0,0,18,1,0,0,[],0,0,0,0,0,0,[],0,0,0,0,Fail,"[55, 64, 44, 164, 429]",9805,2530,26,5.2,154,36,0,0,1,0,13,2,0,0,[],0,0,0,0,0,0,[],0,0,0,0
4666144894,Win,"[58, 5, 517, 29, 497]",11308,1543,26,5.2,143,28,1,5,2,4,9,4,0,0,[],0,0,0,0,0,1,['FIRE_DRAGON'],1,0,0,0,Fail,"[64, 69, 875, 202, 133]",10780,2005,26,5.2,159,32,0,2,5,4,11,3,0,0,[],0,0,0,0,0,0,[],0,0,0,0
4665412578,Fail,"[157, 84, 37, 360, 104]",9893,2468,26,5.2,114,21,0,3,7,1,9,0,0,0,[],0,0,0,0,0,0,[],0,0,0,0,Win,"[81, 53, 74, 15, 56]",12294,1669,29,5.8,130,47,1,7,3,6,6,1,0,0,[],0,0,0,0,0,0,[],0,0,0,0
4665086284,Win,"[517, 54, 555, 4, 111]",24947,4077,43,8.6,64,0,1,16,18,37,0,0,0,0,[],0,0,0,0,0,0,[],0,0,0,0,Fail,"[113, 22, 122, 236, 53]",25329,3359,45,9.0,75,0,0,18,16,46,0,0,0,0,[],0,0,0,0,0,0,[],0,0,0,0
4664899276,Win,"[29, 497, 876, 114, 39]",12115,2415,28,5.6,164,52,0,4,3,4,10,6,0,0,[],0,0,0,0,0,1,['FIRE_DRAGON'],1,0,0,0,Fail,"[40, 84, 119, 164, 28]",11488,2183,26,5.2,144,32,1,3,4,3,11,3,0,0,[],0,0,0,0,0,0,[],0,0,0,0
4664639258,Win,"[117, 164, 104, 7, 22]",12014,2254,27,5.4,139,26,1,6,3,6,12,2,0,0,[],0,0,0,0,0,0,[],0,0,0,0,Fail,"[421, 69, 84, 236, 267]",10289,1904,27,5.4,139,32,0,3,6,0,10,0,0,0,[],0,0,0,0,0,1,['FIRE_DRAGON'],1,0,0,0
4664126988,Fail,"[104, 360, 3, 126, 235]",10713,2503,26,5.2,135,47,0,2,7,1,9,1,0,0,[],0,0,0,0,0,0,[],0,0,0,0,Win,"[875, 119, 44, 20, 107]",12148,2218,27,5.4,135,24,1,7,2,9,8,1,0,0,[],0,0,0,0,0,1,['WATER_DRAGON'],1,0,0,0
4664071468,Fail,"[59, 117, 81, 164, 43]",11446,2321,25,5.0,123,32,1,6,4,5,10,1,0,0,[],0,0,0,0,0,0,[],0,0,0,0,Win,"[114, 51, 76, 412, 236]",11545,3595,27,5.4,146,40,0,4,6,4,21,2,0,0,[],0,0,0,0,0,0,[],0,0,0,0
4663925652,Fail,"[876, 126, 29, 13, 497]",11130,2815,26,5.2,145,28,0,4,4,7,11,4,0,0,[],0,0,0,0,0,0,[],0,0,0,0,Win,"[39, 202, 104, 80, 38]",12302,3402,27,5.4,173,44,1,4,4,4,15,2,0,0,[],0,0,0,0,0,0,[],0,0,0,0
4662765213,Fail,"[245, 21, 24, 44, 517]",10864,3269,26,5.2,147,42,0,3,5,3,11,1,0,0,[],0,0,0,0,0,0,[],0,0,0,0,Win,"[164, 58, 60, 875, 236]",11664,3579,25,5.0,150,25,1,5,3,2,8,1,0,0,[],0,0,0,0,0,0,[],0,0,0,0
4662570948,Win,"[60, 238, 115, 107, 80]",11689,1899,25,5.0,122,33,0,6,3,7,13,3,0,0,[],0,0,0,0,0,0,[],0,0,0,0,Fail,"[120, 69, 22, 111, 236]",11458,2223,24,4.8,155,36,1,3,6,4,13,2,0,0,[],0,0,0,0,0,0,[],0,0,0,0
4662462856,Fail,"[120, 3, 235, 875, 58]",12943,2238,26,5.2,133,35,1,7,5,14,12,1,0,0,[],0,0,0,0,0,0,[],0,0,0,0,Win,"[150, 497, 29, 876, 517]",12333,1668,26,5.2,144,36,0,5,7,10,11,1,0,0,[],0,0,0,0,0,0,[],0,0,0,0
4658198356,Win,"[110, 43, 55, 80, 37]",22688,13088,40,8.0,77,0,1,10,4,31,0,0,0,0,[],0,0,0,0,0,0,[],0,0,0,0,Fail,"[4, 31, 9, 235, 134]",21124,5039,40,8.0,69,0,0,4,10,11,0,0,0,0,[],0,0,0,0,0,0,[],0,0,0,0
4658185836,Win,"[203, 16, 154, 246, 38]",25161,7461,45,9.0,76,0,0,19,10,54,0,0,0,0,[],0,0,0,0,0,0,[],0,0,0,0,Fail,"[67, 7, 268, 136, 98]",23389,2939,41,8.2,81,0,1,10,19,25,16,0,0,0,[],0,0,0,0,0,0,[],0,0,0,0
4658108047,Fail,"[875, 99, 350, 245, 51]",10349,3857,24,4.8,112,24,0,4,7,4,10,1,0,0,[],0,0,0,0,0,0,[],0,0,0,0,Win,"[54, 202, 99, 517, 59]",12051,4061,25,5.0,133,18,1,7,4,9,12,2,0,0,[],0,0,0,0,0,0,[],0,0,0,0
4658028049,Fail,"[23, 111, 98, 236, 85]",24303,4928,43,8.6,67,0,0,17,12,50,26,0,0,0,[],0,0,0,0,0,0,[],0,0,0,0,Win,"[51, 103, 235, 58, 90]",24415,2540,43,8.6,76,0,1,12,17,24,0,0,1,0,['MID_LANE'],1,1,0,0,0,0,[],0,0,0,0
4658052759,Win,"[498, 202, 114, 90, 53]",22973,6023,41,8.2,67,0,1,10,9,30,13,0,0,0,[],0,0,0,0,0,0,[],0,0,0,0,Fail,"[36, 25, 164, 121, 40]",22181,6156,42,8.4,64,0,0,9,10,28,0,1,0,0,[],0,0,0,0,0,0,[],0,0,0,0
4657443358,Win,"[61, 134, 119, 143, 30]",26461,4486,45,9.0,80,0,1,22,13,61,54,0,1,0,['MID_LANE'],1,1,0,0,0,0,[],0,0,0,0,Fail,"[245, 67, 21, 50, 82]",23897,4027,42,8.4,54,0,0,13,22,27,0,0,0,0,[],0,0,0,0,0,0,[],0,0,0,0
4657318146,Fail,"[12, 25, 121, 63, 142]",22240,5290,42,8.4,62,0,0,10,13,20,0,0,0,0,[],0,0,0,0,0,0,[],0,0,0,0,Win,"[96, 53, 35, 4, 77]",23354,2204,43,8.6,62,0,1,13,10,39,0,0,0,0,[],0,0,0,0,0,0,[],0,0,0,0
4655481115,Win,"[76, 238, 222, 44, 427]",22750,1065,42,8.4,61,0,0,11,16,27,20,0,0,0,[],0,0,0,0,0,0,[],0,0,0,0,Fail,"[126, 53, 69, 876, 40]",24284,5514,44,8.8,69,0,1,16,11,47,0,0,0,0,[],0,0,0,0,0,0,[],0,0,0,0
4655377113,Win,"[59, 6, 110, 63, 117]",23600,10150,44,8.8,74,0,0,14,10,41,0,0,0,0,[],0,0,0,0,0,0,[],0,0,0,0,Fail,"[101, 107, 29, 39, 876]",22810,3387,41,8.2,79,0,1,10,14,27,0,0,0,0,[],0,0,0,0,0,0,[],0,0,0,0
4655113715,Win,"[112, 516, 61, 56, 81]",22036,4566,41,8.2,60,0,0,8,13,20,0,0,0,0,[],0,0,0,0,0,0,[],0,0,0,0,Fail,"[110, 51, 39, 25, 45]",23622,7877,43,8.6,90,0,1,13,8,36,0,0,0,0,[],0,0,0,0,0,0,[],0,0,0,0
4654857372,Fail,"[67, 43, 245, 84, 76]",23340,6155,42,8.4,67,0,1,13,9,31,21,0,0,0,[],0,0,0,0,0,0,[],0,0,0,0,Win,"[53, 777, 90, 22, 21]",22322,3037,41,8.2,69,0,0,9,13,25,0,0,0,0,[],0,0,0,0,0,0,[],0,0,0,0
4654862456,Fail,"[51, 202, 78, 163, 62]",22119,3999,41,8.2,76,0,0,10,11,17,15,0,0,0,[],0,0,0,0,0,0,[],0,0,0,0,Win,"[518, 20, 55, 427, 15]",22760,6305,43,8.6,75,0,1,11,10,34,11,0,0,0,[],0,0,0,0,0,0,[],0,0,0,0
4654676553,Fail,"[876, 3, 96, 8, 432]",21483,2783,40,8.0,62,0,1,7,14,14,20,0,0,0,[],0,0,0,0,0,0,[],0,0,0,0,Win,"[45, 110, 99, 101, 32]",23671,11451,45,9.0,79,0,0,14,7,37,20,0,0,0,[],0,0,0,0,0,0,[],0,0,0,0
4654741443,Fail,"[30, 497, 9, 42, 8]",24746,7606,44,8.8,78,0,0,16,15,46,0,2,0,0,[],0,0,0,0,0,0,[],0,0,0,0,Win,"[114, 28, 51, 4, 202]",23861,1711,42,8.4,71,0,1,15,16,45,13,0,0,0,[],0,0,0,0,0,0,[],0,0,0,0
