blueWins,blueTotalGolds,blueCurrentGolds,blueTotalLevel,blueAvgLevel,blueTotalMinionKills,blueTotalJungleMinionKills,blueFirstBlood,blueKill,blueDeath,blueAssist,blueWardPlaced,blueWardKills,blueFirstTower,blueFirstInhibitor,blueFirstTowerLane,blueTowerKills,blueMidTowerKills,blueTopTowerKills,blueBotTowerKills,blueInhibitor,blueFirstDragon,blueDragon,blueRiftHeralds,redTotalGolds,redCurrentGolds,redTotalLevel,redAvgLevel,redTotalMinionKills,redTotalJungleMinionKills,redFirstBlood,redKill,redDeath,redAssist,redWardPlaced,redWardKills,redFirstTower,redFirstInhibitor,redFirstTowerLane,redTowerKills,redMidTowerKills,redTopTowerKills,redBotTowerKills,redInhibitor,redFirstDragon,redDragon,redRiftHeralds,blueAirDragon,blueEarthDragon,blueWaterDragon,blueFireDragon,blueElderDragon,redAirDragon,redEarthDragon,redWaterDragon,redFireDragon,redElderDragon
1,8365,2155,20,4.0,100,19,0,3,4,1,13,0,0,0,0,0,0,0,0,0,0,0,0,8818,4273,21,4.2,102,16,1,4,3,4,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,7371,1411,19,3.8,88,20,0,1,6,1,15,0,0,0,0,0,0,0,0,0,0,0,0,9606,2351,19,3.8,85,24,1,6,1,9,17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,8121,2661,20,4.0,89,29,1,3,1,1,6,1,0,0,0,0,0,0,0,0,0,0,0,7041,1166,19,3.8,77,23,0,1,3,1,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,9378,1723,21,4.2,85,17,0,6,3,5,16,1,0,0,0,0,0,0,0,0,0,0,0,7875,2245,19,3.8,75,24,1,3,6,1,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,7566,4091,21,4.2,111,31,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,7077,3027,20,4.0,90,28,0,0,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,7741,1616,21,4.2,79,20,1,3,1,2,7,2,0,0,0,0,0,0,0,0,0,0,0,7686,3036,20,4.0,108,24,0,1,3,1,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,6238,3188,19,3.8,58,16,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,8686,5486,23,4.6,88,39,1,4,0,2,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,18374,3504,35,7.0,47,0,1,9,11,25,0,0,0,0,0,0,0,0,0,0,0,0,0,18704,3934,35,7.0,46,0,0,11,9,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,8633,4133,22,4.4,100,36,0,3,2,3,8,2,0,0,0,0,0,0,0,0,0,0,0,8063,1868,22,4.4,87,20,1,2,3,2,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,8323,3288,21,4.2,87,23,1,3,1,4,9,0,0,0,0,0,0,0,0,0,0,0,0,7202,2377,19,3.8,91,24,0,1,3,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,7646,2006,20,4.0,79,29,0,2,5,1,7,1,0,0,0,0,0,0,0,0,0,0,0,8757,1477,20,4.0,81,12,1,5,2,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,7947,897,18,3.6,64,16,1,4,3,4,7,0,0,0,0,0,0,0,0,0,0,0,0,7927,3577,18,3.6,79,24,0,3,4,4,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,7536,1536,19,3.8,89,20,0,2,4,1,6,2,0,0,0,0,0,0,0,0,0,0,0,9236,861,22,4.4,100,32,1,4,2,4,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,8006,2581,18,3.6,72,24,1,3,10,5,7,0,0,0,0,0,0,0,0,0,0,0,0,10889,4264,21,4.2,77,31,0,10,3,18,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,8165,3040,21,4.2,91,27,0,3,4,3,9,0,0,0,0,0,0,0,0,0,0,0,0,8557,2757,21,4.2,88,20,1,4,3,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,8187,2477,19,3.8,74,21,0,4,3,5,6,0,0,0,0,0,0,0,0,0,0,0,0,8522,2177,20,4.0,98,20,1,3,4,4,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,8327,3802,21,4.2,85,27,1,3,1,8,8,1,0,0,0,0,0,0,0,0,0,0,0,7537,2982,20,4.0,92,30,0,1,3,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,17873,8273,35,7.0,52,0,1,8,3,25,0,0,0,0,0,0,0,0,0,0,0,0,0,16416,3421,31,6.2,43,0,0,3,8,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,18742,4242,36,7.2,48,0,0,13,8,36,0,0,0,0,0,0,0,0,0,0,0,0,0,18494,3244,35,7.0,57,0,1,8,13,23,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,8174,4054,20,4.0,72,20,0,4,5,4,5,1,0,0,0,0,0,0,0,0,0,0,0,8414,1474,17,3.4,74,8,1,5,4,5,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,18503,3358,34,6.8,36,0,0,12,8,37,18,0,0,0,0,0,0,0,0,0,0,0,0,19061,3511,35,7.0,54,0,1,8,12,15,0,0,1,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,17195,1695,35,7.0,42,0,1,5,7,14,8,0,0,0,0,0,0,0,0,0,0,0,0,17578,4303,35,7.0,45,0,0,7,5,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,19445,7645,35,7.0,52,0,1,14,8,38,40,0,0,0,0,0,0,0,0,0,0,0,0,17577,1292,34,6.8,37,0,0,8,14,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,16628,6678,33,6.6,39,0,0,5,7,13,0,0,0,0,0,0,0,0,0,0,0,0,0,17540,4740,35,7.0,37,0,1,7,5,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,17230,3680,34,6.8,40,0,0,6,10,18,15,0,0,0,0,0,0,0,0,0,0,0,0,18373,5563,35,7.0,47,0,1,10,6,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,17923,4473,35,7.0,43,0,0,10,10,25,0,0,0,0,0,0,0,0,0,0,0,0,0,18738,3988,35,7.0,58,0,1,10,10,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,17148,5398,34,6.8,38,0,0,6,9,14,0,0,0,0,0,0,0,0,0,0,0,0,0,17997,7822,35,7.0,58,0,1,9,6,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,17750,4550,35,7.0,42,0,1,9,6,23,14,0,0,0,0,0,0,0,0,0,0,0,0,17315,4915,34,6.8,46,0,0,6,9,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,17227,4157,34,6.8,52,0,0,7,8,9,11,0,0,0,0,0,0,0,0,0,0,0,0,17352,3782,35,7.0,46,0,1,8,7,24,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,17180,4930,35,7.0,41,0,1,6,10,13,14,0,0,0,0,0,0,0,0,0,0,0,0,17894,5974,35,7.0,45,0,0,10,6,25,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,18671,3466,36,7.2,49,0,0,10,13,27,0,1,0,0,0,0,0,0,0,0,0,0,0,19116,1696,35,7.0,43,0,1,13,10,40,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,18542,9867,35,7.0,49,0,1,10,6,25,0,0,0,0,0,0,0,0,0,0,0,0,0,16820,5395,34,6.8,47,0,0,6,10,18,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,16550,9615,30,6.0,56,0,1,2,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,15589,7789,30,6.0,43,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,15938,7612,32,6.4,80,0,0,6,6,6,4,0,1,0,2,2,2,0,0,0,0,0,0,13062,1641,31,6.2,45,8,1,6,6,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,12040,4819,31,6.2,53,0,0,4,7,5,4,24,0,0,0,0,0,0,0,0,0,0,0,15125,4650,31,6.2,86,0,1,7,4,6,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,7201,2216,20,4.0,90,18,0,1,1,0,3,2,0,0,0,0,0,0,0,0,0,0,0,7889,2089,21,4.2,102,31,1,1,1,1,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,7456,3531,19,3.8,97,16,0,1,6,2,14,1,0,0,0,0,0,0,0,0,0,0,0,9367,4696,22,4.4,101,42,1,6,1,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,8061,1796,20,4.0,90,31,1,2,3,1,6,1,0,0,0,0,0,0,0,0,0,0,0,8326,1451,21,4.2,91,23,0,3,2,7,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,17118,8018,35,7.0,51,0,0,5,2,12,0,0,0,0,0,0,0,0,0,0,0,0,0,15990,1865,32,6.4,41,0,1,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,17226,3181,33,6.6,36,0,0,6,14,18,14,0,0,0,0,0,0,0,0,0,0,0,0,19091,6866,35,7.0,40,0,1,14,6,39,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,18403,4553,35,7.0,47,0,0,9,13,17,0,0,0,0,0,0,0,0,0,0,0,0,0,18917,5417,36,7.2,54,0,1,13,9,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,18268,2963,34,6.8,42,0,0,9,13,18,0,0,0,0,0,0,0,0,0,0,0,0,0,19060,3290,37,7.4,45,0,1,13,9,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,17645,4345,35,7.0,46,0,1,7,5,19,0,0,0,0,0,0,0,0,0,0,0,0,0,17188,4238,34,6.8,51,0,0,5,7,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,10566,3541,20,4.0,84,19,1,9,3,16,7,1,0,0,0,0,0,0,0,0,0,0,0,7763,903,19,3.8,77,25,0,3,9,3,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,7137,3037,20,4.0,92,36,0,0,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0,8013,3228,21,4.2,106,29,1,1,0,1,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,7847,1972,21,4.2,101,32,1,1,0,1,6,1,0,0,0,0,0,0,0,0,0,0,0,7341,2016,20,4.0,103,32,0,0,1,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
